<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AAPL,1,20200715,95000,396,396.47,396,396.21,21291
US1.AAPL,1,20200715,95100,396.25,396.63,395.58,395.58,8645
US1.AAPL,1,20200715,95200,395.95,396.13,395.28,395.6,5300
US1.AAPL,1,20200715,95300,395.54,395.54,395.22,395.38,3324
US1.AAPL,1,20200715,95400,395.4,395.53,394.79,394.89,4848
US1.AAPL,1,20200715,95500,394.76,395.19,394.32,395.16,6400
US1.AAPL,1,20200715,95600,395.27,395.77,395.16,395.16,4497
US1.AAPL,1,20200715,95700,395.27,395.52,394.3,394.35,4909
US1.AAPL,1,20200715,95800,394.55,394.77,394,394,13065
US1.AAPL,1,20200715,95900,393.99,394.17,393.62,393.62,5300
US1.AAPL,1,20200715,100000,393.58,394.49,393.58,394.49,6387
US1.AAPL,1,20200715,100100,394.57,394.97,394.53,394.65,4401
US1.AAPL,1,20200715,100200,394.76,394.83,393.95,393.95,4700
US1.AAPL,1,20200715,100300,394.1,394.25,393.64,393.88,4264
US1.AAPL,1,20200715,100400,393.74,394.28,393.72,394.28,4463
US1.AAPL,1,20200715,100500,394.21,394.63,393.65,393.85,5505
US1.AAPL,1,20200715,100600,393.88,394.84,393.86,394.66,7905
US1.AAPL,1,20200715,100700,394.8,395.16,394.79,395,10027
US1.AAPL,1,20200715,100800,395.06,395.46,394.76,395.43,7903
US1.AAPL,1,20200715,100900,395.4,395.61,395.21,395.45,4940
US1.AAPL,1,20200715,101000,395.54,395.54,394.64,394.87,5081
US1.AAPL,1,20200715,101100,395.06,395.15,394.02,394.26,5100
US1.AAPL,1,20200715,101200,394.35,395.09,394,394.97,5435
US1.AAPL,1,20200715,101300,395.05,395.35,394.91,394.93,2963
US1.AAPL,1,20200715,101400,394.7,394.7,394.39,394.61,1266
US1.AAPL,1,20200715,101500,394.65,395.27,394.62,395.1,5126
US1.AAPL,1,20200715,101600,395.14,395.2,394.26,394.55,3950
US1.AAPL,1,20200715,101700,394.61,394.99,394.58,394.85,8000
US1.AAPL,1,20200715,101800,394.68,394.74,394.64,394.64,900
US1.AAPL,1,20200715,101900,394.61,394.95,394.36,394.78,4520
US1.AAPL,1,20200715,102000,394.96,395.08,394.81,394.87,2655
US1.AAPL,1,20200715,102100,394.86,395.08,394.62,394.65,1800
US1.AAPL,1,20200715,102200,394.57,395.32,394.54,395.25,3159
US1.AAPL,1,20200715,102300,395.14,395.6,394.97,395.39,6105
US1.AAPL,1,20200715,102400,395.31,395.42,395.07,395.07,1500
US1.AAPL,1,20200715,102500,395.14,395.24,394.69,395.24,5903
US1.AAPL,1,20200715,102600,395.22,395.41,395.15,395.33,4034
US1.AAPL,1,20200715,102700,395.49,395.51,395.17,395.3,2218
US1.AAPL,1,20200715,102800,395.18,395.23,394.76,394.76,2613
US1.AAPL,1,20200715,102900,394.89,394.97,394.65,394.97,3799
US1.AAPL,1,20200715,103000,394.99,395.09,394.78,394.88,3711
US1.AAPL,1,20200715,103100,395,395.18,394.92,395.08,2728
US1.AAPL,1,20200715,103200,395,395,394.16,394.39,4797
US1.AAPL,1,20200715,103300,394.39,394.42,393.94,394.2,6457
US1.AAPL,1,20200715,103400,394,394.47,394,394.27,2200
US1.AAPL,1,20200715,103500,394.2,394.2,393.66,393.8,3071
US1.AAPL,1,20200715,103600,393.81,394.25,393.81,394.25,1649
US1.AAPL,1,20200715,103700,394.26,394.53,394.26,394.5,3212
US1.AAPL,1,20200715,103800,394.44,394.44,394.12,394.25,2501
US1.AAPL,1,20200715,103900,394.29,394.36,394.09,394.1,1904
US1.AAPL,1,20200715,104000,394.1,394.24,393.88,393.88,1337
US1.AAPL,1,20200715,104100,393.97,394.4,393.8,394.27,4460
US1.AAPL,1,20200715,104200,394.29,394.53,394.16,394.53,2786
US1.AAPL,1,20200715,104300,394.56,394.87,394.44,394.68,4734
US1.AAPL,1,20200715,104400,394.69,394.8,394.69,394.8,1200
US1.AAPL,1,20200715,104500,394.61,394.63,394.32,394.53,2800
US1.AAPL,1,20200715,104600,394.51,394.76,394.5,394.55,1366
US1.AAPL,1,20200715,104700,394.28,394.5,394.25,394.5,900
US1.AAPL,1,20200715,104800,394.55,394.73,394.55,394.7,2407
US1.AAPL,1,20200715,104900,394.59,394.65,394.41,394.52,2500
US1.AAPL,1,20200715,105000,394.4,394.61,394.31,394.35,1859
US1.AAPL,1,20200715,105100,394.37,394.37,393.96,393.99,5129
US1.AAPL,1,20200715,105200,393.98,394.18,393.7,394.18,2978
US1.AAPL,1,20200715,105300,394.37,394.37,394,394.15,1000
US1.AAPL,1,20200715,105400,394.21,394.23,393.8,393.8,2179
US1.AAPL,1,20200715,105500,393.85,393.85,393.25,393.25,7200
US1.AAPL,1,20200715,105600,393.4,393.41,392.2,392.29,16616
US1.AAPL,1,20200715,105700,392.3,392.32,390.54,390.75,20007
US1.AAPL,1,20200715,105800,390.61,391.43,390.28,391.28,13219
US1.AAPL,1,20200715,105900,391.33,391.6,391.27,391.54,6574
US1.AAPL,1,20200715,110000,391.54,391.54,390.78,390.78,6567
US1.AAPL,1,20200715,110100,390.99,391.1,390.1,390.53,4180
US1.AAPL,1,20200715,110200,390.3,390.46,389.87,390.33,11460
US1.AAPL,1,20200715,110300,390.39,390.69,390.2,390.44,3258
US1.AAPL,1,20200715,110400,390.4,390.49,388.96,388.96,35529
US1.AAPL,1,20200715,110500,388.8,389.34,388.27,388.42,10175
US1.AAPL,1,20200715,110600,388.49,389.37,388.42,389.12,14042
US1.AAPL,1,20200715,110700,388.94,388.94,387.85,387.85,14228
US1.AAPL,1,20200715,110800,387.61,388.05,387.42,387.46,6685
US1.AAPL,1,20200715,110900,387.5,388.19,387.5,387.67,5378
US1.AAPL,1,20200715,111000,387.75,389.21,387.75,389.12,9376
US1.AAPL,1,20200715,111100,389.1,389.63,388.71,389.57,10753
US1.AAPL,1,20200715,111200,389.52,389.53,389.02,389.37,5549
US1.AAPL,1,20200715,111300,389.51,389.85,389.47,389.54,7504
US1.AAPL,1,20200715,111400,389.49,389.95,389.49,389.8,6189
US1.AAPL,1,20200715,111500,389.73,389.73,389.48,389.72,3721
US1.AAPL,1,20200715,111600,389.68,389.88,389.41,389.41,5619
US1.AAPL,1,20200715,111700,389.31,389.35,388.8,389.11,4041
US1.AAPL,1,20200715,111800,389.12,389.63,388.78,389.6,2690
US1.AAPL,1,20200715,111900,389.54,389.93,389.28,389.3,6444
US1.AAPL,1,20200715,112000,389.28,389.65,389.08,389.59,3074
US1.AAPL,1,20200715,112100,389.51,389.86,389.38,389.55,4500
US1.AAPL,1,20200715,112200,389.42,389.44,388.94,389.09,5448
US1.AAPL,1,20200715,112300,388.79,388.79,388.08,388.08,6410
US1.AAPL,1,20200715,112400,388.12,388.47,387.96,388.16,9735
US1.AAPL,1,20200715,112500,388,388.15,387.83,388.14,7216
US1.AAPL,1,20200715,112600,388.18,389.1,387.8,388.95,6250
US1.AAPL,1,20200715,112700,388.81,389.42,388.72,389.39,8324
US1.AAPL,1,20200715,112800,389.37,390.18,389.18,390.03,12810
US1.AAPL,1,20200715,112900,389.96,390.52,389.69,390.32,11759
US1.AAPL,1,20200715,113000,390.28,390.48,390.12,390.44,3036
US1.AAPL,1,20200715,113100,390.24,390.63,390.22,390.62,3500
US1.AAPL,1,20200715,113200,390.58,390.77,390.18,390.77,4997
US1.AAPL,1,20200715,113300,390.75,390.76,390.33,390.52,4765
US1.AAPL,1,20200715,113400,390.33,390.37,389.76,389.83,6417
US1.AAPL,1,20200715,113500,389.96,390,389.55,389.62,1871
US1.AAPL,1,20200715,113600,389.55,390,389.55,389.79,3285
US1.AAPL,1,20200715,113700,389.72,390.29,389.64,390.07,4545
US1.AAPL,1,20200715,113800,389.9,390.36,389.855,389.91,3556
US1.AAPL,1,20200715,113900,389.98,390.31,389.62,389.63,5029
US1.AAPL,1,20200715,114000,389.84,389.84,388.88,388.94,6058
US1.AAPL,1,20200715,114100,388.65,389.23,388.49,389.15,6320
US1.AAPL,1,20200715,114200,389.14,389.57,389.14,389.51,3772
US1.AAPL,1,20200715,114300,389.51,389.51,388.65,388.65,2300
US1.AAPL,1,20200715,114400,388.72,389.15,388.01,388.01,7081
US1.AAPL,1,20200715,114500,388,388.41,388,388.34,3836
US1.AAPL,1,20200715,114600,388.32,388.73,387.87,388.18,4588
US1.AAPL,1,20200715,114700,388.21,388.21,386.86,386.86,5388
US1.AAPL,1,20200715,114800,386.84,387.36,386.84,387.34,4718
US1.AAPL,1,20200715,114900,387.34,387.45,387,387.14,3651
US1.AAPL,1,20200715,115000,387.26,387.575,387.1,387.575,8202
US1.AAPL,1,20200715,115100,387.56,388.1,387.48,387.96,5100
US1.AAPL,1,20200715,115200,387.92,388.24,387.78,387.84,5589
US1.AAPL,1,20200715,115300,387.78,387.87,387.46,387.87,3217
US1.AAPL,1,20200715,115400,387.9,388.5,387.89,388.5,3444
US1.AAPL,1,20200715,115500,388.48,388.92,388.42,388.88,8024
US1.AAPL,1,20200715,115600,388.97,388.97,388.34,388.48,4502
US1.AAPL,1,20200715,115700,388.6,388.7,388.4,388.41,2844
US1.AAPL,1,20200715,115800,388.44,388.51,387.75,388.14,5669
US1.AAPL,1,20200715,115900,387.95,388.51,387.95,388.14,2413
US1.AAPL,1,20200715,120000,388.23,388.23,386.86,386.86,10933
US1.AAPL,1,20200715,120100,386.87,387.49,386.69,386.69,3744
US1.AAPL,1,20200715,120200,386.68,386.68,386.14,386.16,3400
US1.AAPL,1,20200715,120300,386.29,386.75,386.23,386.35,3520
US1.AAPL,1,20200715,120400,386.48,386.83,386.47,386.53,9619
US1.AAPL,1,20200715,120500,386.64,386.64,386,386.51,6895
US1.AAPL,1,20200715,120600,386.4,387.24,386.4,386.92,5676
US1.AAPL,1,20200715,120700,386.9,387.1,386.6,387.04,4401
US1.AAPL,1,20200715,120800,387.055,387.19,386.64,386.64,5445
US1.AAPL,1,20200715,120900,386.5,386.98,386.46,386.58,2062
US1.AAPL,1,20200715,121000,386.83,386.91,386.65,386.71,1400
US1.AAPL,1,20200715,121100,386.72,386.72,386.12,386.21,2771
US1.AAPL,1,20200715,121200,386.45,386.5,386,386.37,5082
US1.AAPL,1,20200715,121300,386.43,386.43,386.19,386.19,2864
US1.AAPL,1,20200715,121400,386.23,386.47,386.23,386.47,900
